"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2020","1,635.97","1,642.84","1,648.25","1,629.58","1.89B","-0.40%"
"Dec 30, 2020","1,642.49","1,618.22","1,645.32","1,618.22","2.83B","1.72%"
"Dec 29, 2020","1,614.70","1,588.86","1,614.87","1,582.04","1.86B","1.81%"
"Dec 28, 2020","1,585.93","1,581.03","1,591.53","1,581.03","1.43B","0.66%"
"Dec 25, 2020","1,575.50","1,579.01","1,588.70","1,572.27","1.44B","-0.01%"
"Dec 24, 2020","1,575.68","1,569.27","1,583.12","1,564.06","2.92B","0.59%"
"Dec 23, 2020","1,566.40","1,557.12","1,569.69","1,557.12","2.62B","0.82%"
"Dec 22, 2020","1,553.71","1,538.77","1,560.37","1,536.19","2.75B","1.65%"
"Dec 21, 2020","1,528.48","1,552.44","1,552.44","1,510.18","3.43B","-2.04%"
"Dec 18, 2020","1,560.35","1,547.85","1,562.86","1,544.13","2.89B","0.60%"
"Dec 17, 2020","1,551.12","1,556.56","1,560.34","1,543.70","2.28B","0.44%"
"Dec 16, 2020","1,544.33","1,557.25","1,563.67","1,538.26","3.16B","-0.17%"
"Dec 15, 2020","1,546.98","1,545.24","1,552.93","1,535.17","3.36B","0.43%"
"Dec 14, 2020","1,540.33","1,529.71","1,548.56","1,529.71","3.08B","1.27%"
"Dec 11, 2020","1,520.94","1,496.84","1,520.94","1,485.25","3.59B","1.53%"
"Dec 10, 2020","1,498.09","1,495.33","1,515.20","1,492.03","3.74B","0.18%"
"Dec 09, 2020","1,495.33","1,483.60","1,509.31","1,483.60","4.03B","0.96%"
"Dec 08, 2020","1,481.10","1,469.13","1,493.01","1,469.13","4.32B","0.92%"
"Dec 07, 2020","1,467.58","1,468.17","1,474.50","1,460.65","3.78B","-0.19%"
"Dec 04, 2020","1,470.41","1,472.45","1,479.19","1,463.46","4.01B","-0.19%"
"Dec 03, 2020","1,473.17","1,467.18","1,479.96","1,453.18","4.67B","0.46%"
"Dec 02, 2020","1,466.45","1,470.34","1,483.20","1,458.91","3.45B","-0.27%"
"Dec 01, 2020","1,470.45","1,443.90","1,470.45","1,424.32","3.45B","3.38%"
"Nov 30, 2020","1,422.36","1,457.57","1,461.40","1,422.36","3.76B","-3.74%"
"Nov 27, 2020","1,477.58","1,499.36","1,502.88","1,473.62","4.23B","-1.05%"
"Nov 26, 2020","1,493.22","1,482.89","1,495.64","1,472.60","2.99B","1.50%"
"Nov 25, 2020","1,471.17","1,472.63","1,488.67","1,468.24","4.05B","0.57%"
"Nov 24, 2020","1,462.82","1,470.28","1,485.05","1,450.17","5.27B","0.15%"
"Nov 23, 2020","1,460.64","1,483.08","1,488.37","1,443.37","4.26B","-1.24%"
"Nov 20, 2020","1,479.04","1,472.55","1,486.23","1,471.13","3.56B","0.56%"
"Nov 19, 2020","1,470.78","1,444.86","1,489.67","1,427.46","7.81B","1.64%"
"Nov 18, 2020","1,447.09","1,402.91","1,447.09","1,402.91","4.98B","3.55%"
"Nov 17, 2020","1,397.52","1,435.22","1,437.09","1,397.46","3.23B","-2.86%"
"Nov 16, 2020","1,438.61","1,456.64","1,460.89","1,437.88","2.92B","-0.28%"
"Nov 13, 2020","1,442.64","1,430.61","1,445.60","1,421.98","4.26B","1.20%"
"Nov 12, 2020","1,425.55","1,432.79","1,461.85","1,415.42","6.80B","-0.09%"
"Nov 11, 2020","1,426.83","1,381.14","1,432.95","1,379.61","6.36B","3.94%"
"Nov 10, 2020","1,372.77","1,348.88","1,375.08","1,338.61","3.87B","1.24%"
"Nov 09, 2020","1,355.90","1,331.22","1,358.98","1,325.30","4.16B","4.10%"
"Nov 06, 2020","1,302.47","1,289.96","1,302.47","1,285.98","3.11B","0.96%"
"Nov 05, 2020","1,290.03","1,283.94","1,296.20","1,275.71","3.05B","0.72%"
"Nov 04, 2020","1,280.83","1,272.63","1,286.31","1,269.81","3.30B","0.92%"
"Nov 03, 2020","1,269.20","1,250.44","1,275.54","1,234.10","3.09B","1.87%"
"Nov 02, 2020","1,245.86","1,228.90","1,255.36","1,227.99","4.38B","1.95%"
"Oct 30, 2020","1,222.03","1,231.35","1,231.35","1,204.70","4.90B","-1.31%"
"Oct 28, 2020","1,238.21","1,262.77","1,264.60","1,238.21","1.17B","-2.24%"
"Oct 27, 2020","1,266.53","1,256.91","1,271.90","1,248.69","3.10B","0.70%"
"Oct 26, 2020","1,257.68","1,295.67","1,295.67","1,254.93","3.76B","-3.65%"
"Oct 23, 2020","1,305.37","1,318.22","1,321.96","1,295.30","3.07B","-0.83%"
"Oct 22, 2020","1,316.35","1,338.88","1,341.09","1,316.35","4.22B","-1.54%"
"Oct 21, 2020","1,336.89","1,345.78","1,347.36","1,333.94","2.22B","0.14%"
"Oct 20, 2020","1,335.08","1,332.41","1,338.81","1,326.16","2.15B","0.38%"
"Oct 19, 2020","1,329.97","1,318.12","1,335.89","1,318.12","2.25B","1.08%"
"Oct 16, 2020","1,315.78","1,304.04","1,316.99","1,302.49","2.14B","1.22%"
"Oct 15, 2020","1,299.92","1,311.79","1,313.92","1,294.52","2.32B","-1.01%"
"Oct 14, 2020","1,313.22","1,299.05","1,313.84","1,293.24","3.24B","1.23%"
"Oct 13, 2020","1,297.30","1,308.28","1,308.58","1,294.64","1.85B","-0.77%"
"Oct 12, 2020","1,307.31","1,300.31","1,311.72","1,299.22","2.07B","0.74%"
"Oct 09, 2020","1,297.65","1,281.95","1,298.70","1,279.95","2.05B","1.38%"
"Oct 08, 2020","1,280.00","1,286.71","1,289.79","1,272.12","1.64B","-0.16%"
"Oct 07, 2020","1,282.11","1,281.05","1,286.49","1,277.75","1.50B","-0.32%"
"Oct 06, 2020","1,286.26","1,302.56","1,306.22","1,286.26","1.91B","-0.90%"
"Oct 05, 2020","1,297.89","1,287.98","1,298.67","1,287.98","1.42B","1.21%"
"Oct 02, 2020","1,282.33","1,274.60","1,289.40","1,273.07","2.08B","0.12%"
"Oct 01, 2020","1,280.73","1,287.87","1,296.60","1,279.74","2.22B","-0.23%"
"Sep 30, 2020","1,283.66","1,264.06","1,285.75","1,264.06","2.74B","2.06%"
"Sep 29, 2020","1,257.71","1,259.34","1,267.84","1,244.73","2.46B","0.09%"
"Sep 28, 2020","1,256.59","1,262.76","1,270.20","1,252.00","2.09B","-0.47%"
"Sep 25, 2020","1,262.52","1,268.70","1,276.81","1,262.52","2.59B","0.47%"
"Sep 24, 2020","1,256.65","1,226.61","1,258.11","1,225.21","3.08B","2.02%"
"Sep 23, 2020","1,231.71","1,229.56","1,239.49","1,225.84","2.00B","0.62%"
"Sep 22, 2020","1,224.16","1,214.61","1,226.57","1,210.74","1.85B","0.91%"
"Sep 21, 2020","1,213.17","1,239.33","1,243.74","1,212.39","2.26B","-2.16%"
"Sep 18, 2020","1,239.98","1,242.14","1,245.92","1,237.07","1.48B","-0.06%"
"Sep 17, 2020","1,240.76","1,236.69","1,240.76","1,228.72","1.40B","0.38%"
"Sep 16, 2020","1,236.09","1,243.94","1,247.91","1,233.92","1.24B","-0.46%"
"Sep 15, 2020","1,241.78","1,243.79","1,252.95","1,226.00","2.07B","0.07%"
"Sep 14, 2020","1,240.93","1,239.82","1,244.93","1,237.37","1.97B","0.30%"
"Sep 11, 2020","1,237.19","1,233.87","1,239.13","1,229.36","1.45B","0.38%"
"Sep 10, 2020","1,232.52","1,235.61","1,241.60","1,226.17","2.43B","-0.16%"
"Sep 09, 2020","1,234.47","1,221.18","1,234.83","1,219.43","1.82B","1.02%"
"Sep 08, 2020","1,221.99","1,237.10","1,238.65","1,218.07","1.46B","-0.80%"
"Sep 07, 2020","1,231.87","1,226.47","1,233.37","1,223.60","1.44B","0.68%"
"Sep 04, 2020","1,223.53","1,211.70","1,227.85","1,208.31","1.74B","0.89%"
"Sep 03, 2020","1,212.70","1,222.98","1,228.94","1,210.55","1.59B","-0.66%"
"Sep 02, 2020","1,220.77","1,222.87","1,228.74","1,215.47","1.73B","-0.12%"
"Sep 01, 2020","1,222.19","1,215.44","1,223.48","1,197.07","1.84B","0.88%"
"Aug 31, 2020","1,211.50","1,242.71","1,243.52","1,210.66","2.04B","-2.42%"
"Aug 28, 2020","1,241.56","1,258.88","1,259.71","1,236.43","1.87B","-1.08%"
"Aug 27, 2020","1,255.08","1,256.26","1,260.16","1,247.30","1.62B","0.73%"
"Aug 26, 2020","1,246.03","1,234.06","1,251.95","1,228.74","2.24B","0.79%"
